ABSOLUTISTAS,0,4,0
ACHICHARRADO,0,1,0
ACOMPAÑARNOS,0,0,1
ACOSTUMBRABA,0,0,1
ACOSTUMBRADA,1,1,1
ACOSTUMBRADO,2,2,0
ACRIBILLANDO,0,1,0
ACUCHILLADOS,0,2,0
ADHIRIÉNDOSE,0,0,1
ADOLESCENCIA,0,0,3
ADORNÁNDOLAS,0,0,1
AFLIGIDÍSIMO,0,0,1
AFLIGIÉNDOSE,0,0,1
AFRANCESADAS,0,1,0
AGLOMERACIÓN,0,1,0
AGUARDENTOSA,0,1,0
AGUARDÁBALES,0,1,0
AGUARDÁNDOTE,0,0,1
AMARILLENTAS,0,1,0
AMARILLENTOS,0,1,0
AMBICIONANDO,1,0,0
AMBIGÜEDADES,0,1,0
AMENAZADORAS,0,1,0
AMENAZÁBAMOS,0,1,0
AMENAZÁNDOLE,0,1,0
AMORTIGUABAN,0,1,0
AMORTIGUADAS,0,2,0
AMORTIGUADOS,0,2,0
AMPUTACIONES,0,0,1
ANSIOSAMENTE,0,3,0
ANTECEDENTES,0,1,0
ANTROPÓFAGAS,0,0,1
APERGAMINADO,0,1,0
APOCALÍPTICA,0,1,0
APODERÁNDOSE,0,1,0
APODERÁRONSE,0,1,0
APRISIONANDO,0,1,0
APROVECHANDO,0,2,0
APROVECHARME,0,1,0
APROVECHARSE,0,1,2
APROVECHARTE,0,1,0
ARISTOCRACIA,1,0,0
ARRANCÁNDOLE,0,2,1
ARREGLAREMOS,0,2,0
ARREMOLINABA,1,0,0
ARREPENTIDOS,0,1,0
ARRULLADORES,0,1,0
ATENDIÉNDOLE,0,0,1
ATORMENTABAN,1,0,0
ATORMENTARME,0,2,0
ATREVIMIENTO,0,2,1
ATREVIÉNDOSE,0,1,0
ATURDIMIENTO,0,1,0
AVERGONZARSE,0,0,1
AVERGONZARÍA,0,1,0
AYUNTAMIENTO,1,0,0
BALADRONADAS,1,0,0
BALAUSTRADAS,0,1,0
BARBARIDADES,0,2,0
BOSQUECILLOS,1,0,0
BURGUESILLOS,0,1,0
BURLONAMENTE,0,2,0
CABALLERESCA,0,1,0
CABALLERESCO,0,1,0
CALAVERILLAS,0,1,0
CALIGRÁFICAS,0,1,0
CAMPANILLAZO,0,1,0
CANTURREANDO,1,0,0
CANTURRIANDO,0,0,1
CELEBRIDADES,1,0,0
CENTELLEABAN,1,0,0
CENTELLEANTE,0,2,0
CENTUPLICADO,0,1,0
CICATRIZABAN,0,1,0
COINCIDENCIA,0,0,2
COMBATIENTES,0,1,0
COMERCIANTES,0,1,1
COMPADECERTE,0,0,1
COMPADECIDOS,0,1,0
COMPADECIÓSE,0,0,1
COMPAGINARSE,0,1,0
COMPARÁNDOLO,0,1,0
COMPARÁRSELE,0,1,0
COMPETIDORES,0,1,0
COMPLACENCIA,0,2,0
COMPRENDIERA,0,1,0
COMPRENDÍASE,0,1,0
COMPROBACIÓN,0,0,1
CONCERNIENTE,0,0,1
CONCURRENCIA,1,0,2
CONCURRENTES,0,0,1
CONDENÁNDOLO,0,1,0
CONFECCIONAR,1,0,0
CONFESONARIO,0,1,0
CONFIDENCIAL,0,1,0
CONFIDENCIAS,1,0,0
CONFISCACIÓN,0,1,0
CONFUNDIERON,0,1,0
CONGRACIARSE,0,1,0
CONGREGACIÓN,0,1,0
CONOCIMIENTO,0,2,1
CONOCIÉNDOLA,0,1,0
CONOCIÉSEMOS,0,0,1
CONQUISTADOR,0,1,0
CONSECUENCIA,1,3,1
CONSEGUIRLAS,0,0,1
CONSERVACIÓN,0,1,0
CONSIDERABLE,0,0,1
CONSIDERAMOS,0,0,1
